age_group,period_flood,pb_level,f_sys,BLL0,threshold_ug_dl,dBLL_med,dBLL_p05,dBLL_p95,p_exceed,p_exceed_p05,p_exceed_p95
Infant_0_6mo,Disturbance,C_med,0.75,2,3.5,38.340407136454154,24.396174919354532,59.28769876733281,1,1,1
Infant_0_6mo,Disturbance,C_med,0.75,2,5,38.340407136454154,24.396174919354532,59.28769876733281,1,1,1
Infant_0_6mo,Disturbance,C_med,1,0.5,3.5,50.720092820770574,32.733412862218714,79.18604761360986,1,1,1
Infant_0_6mo,Disturbance,C_med,1,0.5,5,50.720092820770574,32.733412862218714,79.18604761360986,1,1,1
Infant_0_6mo,Disturbance,C_med,1,1,3.5,50.725358572994864,32.74595782259893,78.13818076828827,1,1,1
Infant_0_6mo,Disturbance,C_med,1,1,5,50.725358572994864,32.74595782259893,78.13818076828827,1,1,1
Infant_0_6mo,Disturbance,C_med,1,2,3.5,50.78066597127517,32.46041806910986,79.10860297268464,1,1,1
Infant_0_6mo,Disturbance,C_med,1,2,5,50.78066597127517,32.46041806910986,79.10860297268464,1,1,1
Infant_0_6mo,Disturbance,C_high,0.25,0.5,3.5,24.079004641721998,15.983016699412886,37.60035790487952,1,1,1
Infant_0_6mo,Disturbance,C_high,0.25,0.5,5,24.079004641721998,15.983016699412886,37.60035790487952,1,1,1
Infant_0_6mo,Disturbance,C_high,0.25,1,3.5,24.115715421537576,15.360230769291896,37.15021997967439,1,1,1
Infant_0_6mo,Disturbance,C_high,0.25,1,5,24.115715421537576,15.360230769291896,37.15021997967439,1,1,1
Infant_0_6mo,Disturbance,C_high,0.25,2,3.5,24.17306892895575,15.648537723688703,37.41355346689241,1,1,1
Infant_0_6mo,Disturbance,C_high,0.25,2,5,24.17306892895575,15.648537723688703,37.41355346689241,1,1,1
Infant_0_6mo,Disturbance,C_high,0.5,0.5,3.5,48.044828972291285,31.243047366098473,73.31680496029821,1,1,1
Infant_0_6mo,Disturbance,C_high,0.5,0.5,5,48.044828972291285,31.243047366098473,73.31680496029821,1,1,1
Infant_0_6mo,Disturbance,C_high,0.5,1,3.5,47.91358314340512,31.471996045590334,74.91993197176926,1,1,1
Infant_0_6mo,Disturbance,C_high,0.5,1,5,47.91358314340512,31.471996045590334,74.91993197176926,1,1,1
Infant_0_6mo,Disturbance,C_high,0.5,2,3.5,47.89759930625307,30.829157081594406,73.9542552465956,1,1,1
Infant_0_6mo,Disturbance,C_high,0.5,2,5,47.89759930625307,30.829157081594406,73.9542552465956,1,1,1
Infant_0_6mo,Disturbance,C_high,0.75,0.5,3.5,72.16527306497636,46.09968823226875,112.02038764358001,1,1,1
Infant_0_6mo,Disturbance,C_high,0.75,0.5,5,72.16527306497636,46.09968823226875,112.02038764358001,1,1,1
Infant_0_6mo,Disturbance,C_high,0.75,1,3.5,71.89395768875083,46.39875669286987,111.15542697470751,1,1,1
Infant_0_6mo,Disturbance,C_high,0.75,1,5,71.89395768875083,46.39875669286987,111.15542697470751,1,1,1
Infant_0_6mo,Disturbance,C_high,0.75,2,3.5,71.97584314660794,46.47615194082589,111.43425461401414,1,1,1
Infant_0_6mo,Disturbance,C_high,0.75,2,5,71.97584314660794,46.47615194082589,111.43425461401414,1,1,1
Infant_0_6mo,Disturbance,C_high,1,0.5,3.5,96.04020352089165,62.86920900746326,149.63652034752326,1,1,1
Infant_0_6mo,Disturbance,C_high,1,0.5,5,96.04020352089165,62.86920900746326,149.63652034752326,1,1,1
Infant_0_6mo,Disturbance,C_high,1,1,3.5,94.85171956066358,61.092532785566476,146.11458330182032,1,1,1
Infant_0_6mo,Disturbance,C_high,1,1,5,94.85171956066358,61.092532785566476,146.11458330182032,1,1,1
Infant_0_6mo,Disturbance,C_high,1,2,3.5,95.79434166829697,61.58718811121092,149.89786557803788,1,1,1
Infant_0_6mo,Disturbance,C_high,1,2,5,95.79434166829697,61.58718811121092,149.89786557803788,1,1,1
Infant_0_6mo,Pre-flood,C_low,0.25,0.5,3.5,2.1805634652026833,1.390228284289928,3.343233617675785,0.11066666666666666,0,1
Infant_0_6mo,Pre-flood,C_low,0.25,0.5,5,2.1805634652026833,1.390228284289928,3.343233617675785,0.002,0,0
Infant_0_6mo,Pre-flood,C_low,0.25,1,3.5,2.1775755079390047,1.412108100818015,3.3727352452845776,0.312,0,1
Infant_0_6mo,Pre-flood,C_low,0.25,1,5,2.1775755079390047,1.412108100818015,3.3727352452845776,0.012,0,0
Infant_0_6mo,Pre-flood,C_low,0.25,2,3.5,2.1709765005343096,1.420956127550367,3.357702710809379,0.922,0,1
Infant_0_6mo,Pre-flood,C_low,0.25,2,5,2.1709765005343096,1.420956127550367,3.357702710809379,0.10666666666666667,0,1
Infant_0_6mo,Pre-flood,C_low,0.5,0.5,3.5,4.370975981810037,2.774091100504891,6.827682008460968,0.912,0,1
Infant_0_6mo,Pre-flood,C_low,0.5,0.5,5,4.370975981810037,2.774091100504891,6.827682008460968,0.45566666666666666,0,1
Infant_0_6mo,Pre-flood,C_low,0.5,1,3.5,4.3598354664222025,2.825634048082034,6.753176568488616,0.983,1,1
Infant_0_6mo,Pre-flood,C_low,0.5,1,5,4.3598354664222025,2.825634048082034,6.753176568488616,0.6263333333333333,0,1
Infant_0_6mo,Pre-flood,C_low,0.5,2,3.5,4.378743835649342,2.849168401204081,6.690943528277394,1,1,1
Infant_0_6mo,Pre-flood,C_low,0.5,2,5,4.378743835649342,2.849168401204081,6.690943528277394,0.9236666666666666,0,1
Infant_0_6mo,Pre-flood,C_low,0.75,0.5,3.5,6.558428092991694,4.258515388412943,10.08856934085719,0.9986666666666667,1,1
Infant_0_6mo,Pre-flood,C_low,0.75,0.5,5,6.558428092991694,4.258515388412943,10.08856934085719,0.9276666666666666,0,1
Infant_0_6mo,Pre-flood,C_low,0.75,1,3.5,6.511849606126174,4.216049524944753,10.154426723970824,1,1,1
Infant_0_6mo,Pre-flood,C_low,0.75,1,5,6.511849606126174,4.216049524944753,10.154426723970824,0.9666666666666667,1,1
Infant_0_6mo,Pre-flood,C_low,0.75,2,3.5,6.609264374984731,4.261830402056737,10.319770776873469,1,1,1
Infant_0_6mo,Pre-flood,C_low,0.75,2,5,6.609264374984731,4.261830402056737,10.319770776873469,0.9976666666666667,1,1
Infant_0_6mo,Pre-flood,C_low,1,0.5,3.5,8.727267915522617,5.529282146173563,13.404681812931377,1,1,1
Infant_0_6mo,Pre-flood,C_low,1,0.5,5,8.727267915522617,5.529282146173563,13.404681812931377,0.994,1,1
Infant_0_6mo,Pre-flood,C_low,1,1,3.5,8.622667968158492,5.437805631729216,13.710917995928238,1,1,1
Infant_0_6mo,Pre-flood,C_low,1,1,5,8.622667968158492,5.437805631729216,13.710917995928238,0.9953333333333333,1,1
Infant_0_6mo,Pre-flood,C_low,1,2,3.5,8.774134674391098,5.588278975943251,13.699587490856384,1,1,1
Infant_0_6mo,Pre-flood,C_low,1,2,5,8.774134674391098,5.588278975943251,13.699587490856384,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.25,0.5,3.5,5.315867100353463,3.428380553622911,8.042922729532183,0.9853333333333333,1,1
Infant_0_6mo,Pre-flood,C_med,0.25,0.5,5,5.315867100353463,3.428380553622911,8.042922729532183,0.7336666666666667,0,1
Infant_0_6mo,Pre-flood,C_med,0.25,1,3.5,5.37411992303886,3.478629755414631,8.165374002691205,0.9986666666666667,1,1
Infant_0_6mo,Pre-flood,C_med,0.25,1,5,5.37411992303886,3.478629755414631,8.165374002691205,0.8723333333333333,0,1
Infant_0_6mo,Pre-flood,C_med,0.25,2,3.5,5.306512025170894,3.4455821920543825,8.288815288961677,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.25,2,5,5.306512025170894,3.4455821920543825,8.288815288961677,0.986,1,1
Infant_0_6mo,Pre-flood,C_med,0.5,0.5,3.5,10.77558396141917,6.782929229794199,16.63685104380829,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.5,0.5,5,10.77558396141917,6.782929229794199,16.63685104380829,0.9993333333333333,1,1
Infant_0_6mo,Pre-flood,C_med,0.5,1,3.5,10.586779914504824,6.794546957598013,16.60465850949276,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.5,1,5,10.586779914504824,6.794546957598013,16.60465850949276,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.5,2,3.5,10.654473600691919,6.909781876074961,16.353050162079708,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.5,2,5,10.654473600691919,6.909781876074961,16.353050162079708,0.9996666666666667,1,1
Infant_0_6mo,Pre-flood,C_med,0.75,0.5,3.5,15.958955434007784,10.18048694967631,24.85178637361952,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.75,0.5,5,15.958955434007784,10.18048694967631,24.85178637361952,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.75,1,3.5,15.889915874058207,10.346363469651546,24.52634403324206,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.75,1,5,15.889915874058207,10.346363469651546,24.52634403324206,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.75,2,3.5,15.832095577289287,10.196015987296771,24.704950566582045,1,1,1
Infant_0_6mo,Pre-flood,C_med,0.75,2,5,15.832095577289287,10.196015987296771,24.704950566582045,1,1,1
Infant_0_6mo,Pre-flood,C_med,1,0.5,3.5,21.25994304590924,13.687889078258278,33.67338659895934,1,1,1
Infant_0_6mo,Pre-flood,C_med,1,0.5,5,21.25994304590924,13.687889078258278,33.67338659895934,1,1,1
Infant_0_6mo,Pre-flood,C_med,1,1,3.5,21.31605463621449,13.805616886637686,32.830988137220096,1,1,1
Infant_0_6mo,Pre-flood,C_med,1,1,5,21.31605463621449,13.805616886637686,32.830988137220096,1,1,1
Infant_0_6mo,Pre-flood,C_med,1,2,3.5,21.264062532616858,13.6911524784636,33.037902132077576,1,1,1
Infant_0_6mo,Pre-flood,C_med,1,2,5,21.264062532616858,13.6911524784636,33.037902132077576,1,1,1
Infant_0_6mo,Pre-flood,C_high,0.25,0.5,3.5,13.442756058962843,8.673592319284637,20.600892233210544,1,1,1
Infant_0_6mo,Pre-flood,C_high,0.25,0.5,5,13.442756058962843,8.673592319284637,20.600892233210544,1,1,1
Infant_0_6mo,Pre-flood,C_high,0.25,1,3.5,13.46263211387653,8.671271246465553,21.175767922631056,1,1,1
Infant_0_6mo,Pre-flood,C_high,0.25,1,5,13.46263211387653,8.671271246465553,21.175767922631056,1,1,1
Infant_0_6mo,Pre-flood,C_high,0.25,2,3.5,13.577568567136245,8.739910099890707,21.078203719609977,1,1,1
Infant_0_6mo,Pre-flood,C_high,0.25,2,5,13.577568567136245,8.739910099890707,21.078203719609977,1,1,1
